"","RequestType","total.income","count"
"640","Homeless Encampment",20122,158
"641","Homeless Encampment",20135,248
"642","Homeless Encampment",20210,80
"643","Homeless Encampment",20336,1
"644","Homeless Encampment",20356,1
"645","Homeless Encampment",20401,139
"646","Homeless Encampment",20468,15
"647","Homeless Encampment",20820,387
"648","Homeless Encampment",21075,47
"649","Homeless Encampment",21211,83
"650","Homeless Encampment",21227,188
"651","Homeless Encampment",21259,227
"652","Homeless Encampment",21532,92
"653","Homeless Encampment",22045,380
"654","Homeless Encampment",22228,81
"655","Homeless Encampment",22309,60
"656","Homeless Encampment",22418,120
"657","Homeless Encampment",22518,232
"658","Homeless Encampment",22638,93
"659","Homeless Encampment",22834,114
"660","Homeless Encampment",22865,520
"661","Homeless Encampment",22981,10
"662","Homeless Encampment",22996,105
"663","Homeless Encampment",23083,127
"664","Homeless Encampment",23466,63
"665","Homeless Encampment",23575,140
"666","Homeless Encampment",24393,1
"667","Homeless Encampment",24545,60
"668","Homeless Encampment",24941,270
"669","Homeless Encampment",25827,19
"670","Homeless Encampment",25904,38
"671","Homeless Encampment",25933,86
"672","Homeless Encampment",26105,236
"673","Homeless Encampment",26337,19
"674","Homeless Encampment",26415,38
"675","Homeless Encampment",26438,150
"676","Homeless Encampment",27088,6
"677","Homeless Encampment",27546,274
"678","Homeless Encampment",29086,19
"679","Homeless Encampment",30460,23
"680","Homeless Encampment",31003,99
"681","Homeless Encampment",31613,188
"682","Homeless Encampment",31675,56
"683","Homeless Encampment",32432,260
"684","Homeless Encampment",33629,137
"685","Homeless Encampment",33953,75
"686","Homeless Encampment",34831,57
"687","Homeless Encampment",35388,10
"688","Homeless Encampment",35633,33
"689","Homeless Encampment",36258,165
"690","Homeless Encampment",37156,120
"691","Homeless Encampment",37776,98
"692","Homeless Encampment",38518,151
"693","Homeless Encampment",39311,62
"694","Homeless Encampment",39509,15
"695","Homeless Encampment",39664,7
"696","Homeless Encampment",40362,20
"697","Homeless Encampment",40631,177
"698","Homeless Encampment",42001,20
"699","Homeless Encampment",42628,179
"700","Homeless Encampment",42940,222
"701","Homeless Encampment",42963,53
"702","Homeless Encampment",43672,49
"703","Homeless Encampment",44314,105
"704","Homeless Encampment",44887,164
"705","Homeless Encampment",47068,449
"706","Homeless Encampment",48605,86
"707","Homeless Encampment",50272,35
"708","Homeless Encampment",51183,7
"709","Homeless Encampment",53286,79
"710","Homeless Encampment",53733,5
"711","Homeless Encampment",61464,86
"712","Homeless Encampment",61485,17
"713","Homeless Encampment",63516,37
"714","Homeless Encampment",63733,2
"715","Homeless Encampment",64156,3
"716","Homeless Encampment",66707,4
"717","Homeless Encampment",69602,15
"718","Illegal Dumping Pickup",2870,3
"719","Illegal Dumping Pickup",3309,1
"720","Illegal Dumping Pickup",11618,2
"721","Illegal Dumping Pickup",12156,711
"722","Illegal Dumping Pickup",12324,109
"723","Illegal Dumping Pickup",12679,663
"724","Illegal Dumping Pickup",14416,120
"725","Illegal Dumping Pickup",15022,798
"726","Illegal Dumping Pickup",15239,1745
"727","Illegal Dumping Pickup",15325,377
"728","Illegal Dumping Pickup",15333,2369
"729","Illegal Dumping Pickup",15440,1647
"730","Illegal Dumping Pickup",15495,920
"731","Illegal Dumping Pickup",15507,592
"732","Illegal Dumping Pickup",15632,253
"733","Illegal Dumping Pickup",15653,897
"734","Illegal Dumping Pickup",15871,843
"735","Illegal Dumping Pickup",15932,517
"736","Illegal Dumping Pickup",15997,681
"737","Illegal Dumping Pickup",16128,861
